,Unnamed: 0,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
973,66,1,2,9,32,0,118,118,21,20,16,10826,13,90010826,90000679,90000603,0,2,0,0,1,3,15,0,1115,4,679,2,0,348,259,0,1,1,0,0,0,170,3,2018,1,20,6,974640,6,603,580,1,0,1,2,3
974,67,1,3,7,16,0,73,73,7,14,20,10826,13,90010826,90000603,90000679,0,3,3,0,0,2,18,0,1113,7,603,3,0,526,424,1,0,0,0,0,1,170,2,2018,1,11,3,974641,11,679,735,3,0,1,3,2
975,68,1,3,2,12,0,67,67,16,16,13,11169,14,90011169,90000741,90000899,0,2,4,0,0,1,10,0,1084,2,741,2,0,350,272,0,0,0,0,0,0,147,1,2018,1,7,1,974677,16,899,590,2,1,1,2,1
976,69,1,3,7,29,0,100,100,18,13,15,11169,14,90011169,90000899,90000741,0,1,0,1,1,2,5,0,1115,2,899,1,0,636,560,0,0,0,0,0,0,147,2,2018,1,16,6,974678,15,741,871,1,0,1,1,2
977,70,0,2,3,13,4,96,96,19,15,16,11171,14,90011171,90000906,90000939,1,0,5,0,1,1,14,0,1115,3,906,0,0,419,295,0,0,0,0,0,0,147,1,2018,1,9,3,974715,13,939,696,1,0,0,0,1
978,71,0,7,11,45,0,89,89,17,16,16,11171,14,90011171,90000939,90000906,0,1,2,1,0,0,9,0,1115,1,939,1,0,418,285,0,0,0,0,0,0,147,0,2018,1,22,5,974716,15,906,689,2,0,1,1,0
979,72,0,4,10,29,0,64,64,15,10,19,11174,14,90011174,90000893,90001119,0,1,1,1,0,1,12,0,1115,2,893,1,0,584,506,0,1,1,0,0,0,147,1,2018,1,12,5,974752,7,1119,774,1,0,1,1,1
980,73,1,0,2,13,0,67,67,24,19,11,11174,13,90011174,90001119,90000893,0,1,3,1,0,1,10,0,1115,2,1119,1,0,432,344,1,0,0,0,0,0,147,1,2018,1,3,2,974753,12,893,637,1,0,1,1,1
981,74,0,2,12,24,0,55,55,19,12,13,11176,14,90011176,90000894,90000895,0,4,6,0,0,0,23,1,1115,1,894,4,0,454,340,0,0,0,0,0,0,147,0,2018,1,9,4,974790,3,895,684,1,0,1,3,0
982,75,2,3,10,21,4,155,155,19,11,12,11176,14,90011176,90000895,90000894,1,0,4,0,1,4,16,0,1115,9,895,0,0,473,349,0,0,0,0,0,0,147,4,2018,1,16,11,974791,6,894,698,1,0,0,0,3
983,76,0,3,4,39,0,77,77,18,14,16,11178,14,90011178,90001118,90000903,0,3,1,0,0,0,16,0,1115,3,1118,3,0,433,324,0,0,0,0,0,0,147,0,2018,1,15,7,974828,15,903,671,1,0,1,3,0
984,77,2,5,7,16,4,138,138,14,14,16,11178,14,90011178,90000903,90001118,1,0,6,0,1,3,14,0,1115,1,903,0,0,374,255,0,0,0,0,0,0,147,3,2018,1,12,4,974829,14,1118,621,3,0,0,0,3
985,78,1,4,4,18,0,96,96,24,28,15,10824,14,90010824,90000988,90001166,0,3,4,0,0,2,3,0,1115,1,988,3,0,423,315,0,1,0,1,0,0,170,2,2018,1,21,7,974873,9,1166,632,2,0,1,3,2
986,79,3,5,7,29,0,134,134,10,14,29,10824,14,90010824,90001166,90000988,0,2,4,0,1,3,4,0,1115,0,1166,2,0,423,321,1,0,0,0,1,0,170,3,2018,1,27,7,974874,11,988,612,2,0,1,2,3
987,80,1,4,3,19,0,79,79,14,15,13,12824,14,90012824,90000559,90000994,0,3,3,0,0,1,34,0,1115,4,559,3,0,343,257,0,0,0,0,0,0,182,1,2018,1,12,1,974911,13,994,580,4,0,1,3,1
988,81,2,2,5,4,0,98,98,16,13,15,12824,14,90012824,90000994,90000559,0,1,0,1,1,3,14,0,1115,4,994,1,0,786,676,0,0,0,0,0,0,182,3,2018,1,13,6,974912,14,559,998,2,0,1,1,3
989,82,0,5,1,19,4,80,80,16,12,15,13208,13,90013208,90000674,90000670,1,0,4,0,0,0,9,0,1115,5,674,0,0,339,236,0,0,0,0,0,0,159,0,2018,1,7,2,974959,22,670,552,2,0,0,0,0
990,83,0,11,5,21,3,78,78,21,14,11,13208,14,90013208,90000670,90000674,1,0,2,0,0,0,5,0,1115,2,670,0,0,623,543,0,0,0,0,0,0,159,0,2018,1,20,4,974960,6,674,846,1,0,0,0,0
991,84,0,2,2,2,0,15,15,21,2,3,13653,11,90013653,90000638,90000653,0,0,0,0,0,0,7,0,1115,0,638,0,0,107,81,0,0,0,0,0,0,187,0,2018,1,4,0,974997,4,653,156,0,0,0,0,0
