,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
702,702,0,3,3,7,12,0,111,12,9,13,716,18,90000716,90000526,90000511,0,0,4,0,1,3,10,0,1115,1,526,0,0,559,455,0,0,0,0,1,1,1,2,2016,1,16,5,2284,10,511,0,1,0,0,0,3
703,703,1,2,3,9,25,0,94,18,12,10,716,17,90000716,90000511,90000526,0,3,2,0,0,2,16,0,1115,2,511,0,0,420,320,0,0,0,1,0,0,1,2,2016,1,16,6,2285,11,526,0,2,0,1,3,2
704,704,2,2,4,7,25,4,133,14,5,7,717,18,90000717,90000513,90000516,1,0,1,0,1,2,19,0,1115,2,513,0,0,548,466,0,0,0,0,0,0,1,0,2016,1,18,10,2314,16,516,0,3,0,0,0,2
705,705,3,0,4,9,21,0,66,23,7,5,717,18,90000717,90000516,90000513,0,2,7,0,0,0,12,0,1115,3,516,0,0,459,376,0,0,0,0,0,0,1,0,2016,1,11,1,2315,15,513,0,0,0,1,2,0
706,706,4,0,0,2,23,5,94,17,11,12,718,18,90000718,90000525,90000520,1,0,0,0,0,0,31,0,1115,2,525,0,0,464,347,0,0,0,0,0,0,1,0,2016,1,15,5,2343,15,520,0,2,0,0,0,0
707,707,5,0,7,5,33,3,94,22,12,12,718,17,90000718,90000520,90000525,1,0,4,0,0,0,16,0,1115,4,520,0,0,485,356,0,0,0,0,0,0,1,0,2016,1,14,0,2344,14,525,0,0,0,0,0,0
708,708,0,0,3,5,20,4,98,20,16,12,710,17,90000710,90000517,90000518,1,0,9,0,0,0,22,0,1115,2,517,0,0,315,226,0,0,0,0,0,0,1,0,2016,1,7,0,1691,19,518,0,2,0,0,0,0
709,709,1,0,10,12,42,3,102,15,12,16,710,18,90000710,90000518,90000517,1,0,0,0,0,0,16,0,1115,4,518,0,0,717,639,0,0,0,0,0,0,1,0,2016,1,22,9,1692,13,517,0,2,0,0,0,0
710,710,2,1,5,4,22,0,95,20,15,10,711,18,90000711,90000522,90000523,0,1,1,1,0,1,22,0,1115,2,522,0,0,556,462,0,0,0,0,0,0,1,1,2016,1,22,10,1717,9,523,0,2,0,1,1,1
711,711,3,1,3,2,18,0,84,8,10,16,711,17,90000711,90000523,90000522,0,1,9,1,0,1,15,0,1040,4,523,0,0,342,240,0,0,0,0,0,0,1,1,2016,1,10,1,1718,22,522,0,4,0,1,1,1
712,712,4,1,1,0,9,0,77,25,15,5,712,18,90000712,90000519,90000521,0,1,6,1,0,1,16,0,1115,4,519,0,0,526,441,0,0,0,0,0,0,1,1,2016,1,6,1,1745,13,521,0,1,0,1,1,1
713,713,5,1,5,10,24,0,78,6,5,18,712,16,90000712,90000521,90000519,0,1,0,1,0,1,11,0,1101,1,521,0,0,362,285,0,0,0,0,0,0,1,1,2016,1,21,7,1746,19,519,0,4,0,1,1,1
714,714,6,1,4,7,20,0,70,9,7,15,713,18,90000713,90000514,90000524,0,1,1,1,0,1,9,0,1115,0,514,0,0,589,495,0,0,0,0,0,0,1,1,2016,1,21,6,1774,11,524,0,4,0,1,1,1
715,715,7,1,6,2,24,0,98,24,15,7,713,18,90000713,90000524,90000514,0,1,5,1,0,1,23,0,1115,1,524,0,0,298,202,0,0,0,0,0,0,1,1,2016,1,14,2,1775,13,514,0,1,0,1,1,1
716,716,8,2,2,4,12,0,117,18,9,12,714,17,90000714,90000527,90000508,0,3,1,0,1,4,11,0,1115,1,527,0,0,509,374,0,0,1,0,0,0,1,3,2016,1,16,7,1802,16,508,0,1,0,1,3,3
717,717,9,1,3,4,20,0,92,17,12,9,714,16,90000714,90000508,90000527,0,4,3,0,0,2,30,0,1045,0,508,0,0,408,276,0,0,1,0,0,1,1,3,2016,1,10,3,1803,16,527,0,0,0,1,3,2
718,718,10,0,3,4,23,0,61,13,13,16,715,17,90000715,90000512,90000510,0,2,4,0,0,0,20,0,1115,0,512,0,0,409,318,0,0,0,0,0,0,1,2,2016,1,12,2,1830,14,510,0,3,0,1,2,0
719,719,11,2,3,6,31,0,116,16,15,13,715,18,90000715,90000510,90000512,0,1,2,1,1,2,12,0,1115,4,510,0,1,402,318,0,0,0,0,0,0,1,2,2016,1,18,6,1831,13,512,0,3,0,1,1,2
720,720,0,0,4,7,28,0,60,11,12,19,709,17,90000709,90000515,90000508,0,0,1,1,0,0,15,0,1083,0,515,0,0,427,323,0,0,0,0,0,0,1,1,2016,1,11,1,1574,21,508,0,3,0,0,0,0
721,721,1,1,5,6,12,4,120,23,19,12,709,18,90000709,90000508,90000515,1,0,2,0,1,1,18,0,1115,1,508,0,0,554,454,0,0,0,0,0,0,1,1,2016,1,20,2,1575,21,515,0,1,0,0,0,1
722,722,0,1,7,6,25,0,119,21,15,13,707,18,90000707,90000512,90000509,0,0,3,1,1,1,13,0,1115,2,512,0,0,635,538,0,0,0,0,0,0,1,1,2016,1,22,7,1346,27,509,0,1,0,0,0,1
723,723,1,1,3,6,32,0,98,18,13,15,707,18,90000707,90000509,90000512,0,2,5,0,0,1,21,0,1115,3,509,0,1,423,340,0,0,0,0,0,0,1,1,2016,1,12,4,1347,18,512,0,1,0,1,2,1
724,724,2,0,3,1,16,0,66,20,21,13,708,17,90000708,90000516,90000511,0,3,5,0,0,0,14,0,1043,2,516,0,0,477,401,0,0,0,0,0,0,1,3,2016,1,11,3,1375,15,511,0,2,0,1,3,0
725,725,3,2,4,5,28,4,145,9,14,21,708,18,90000708,90000511,90000516,1,0,3,0,1,3,5,0,1115,1,511,0,0,476,388,0,0,0,0,0,0,1,3,2016,1,20,9,1376,15,516,0,4,0,0,0,3
726,726,0,3,4,10,21,2,136,18,12,11,701,18,90000701,90000520,90000513,1,0,4,0,1,3,18,0,1115,2,520,0,0,442,353,0,0,0,0,0,0,1,0,2016,1,11,4,884,11,513,0,2,0,0,0,3
727,727,1,0,4,10,44,0,73,12,10,12,701,18,90000701,90000513,90000520,0,3,1,0,0,0,14,1,1115,1,513,0,0,516,440,0,0,0,0,0,0,1,0,2016,1,19,4,885,16,520,0,4,0,1,3,0
728,728,2,3,4,6,21,0,118,16,6,7,702,16,90000702,90000522,90000519,0,1,1,1,1,3,12,0,1084,1,522,0,0,526,419,0,0,0,0,0,0,1,1,2016,1,15,6,911,14,519,0,2,0,1,1,3
729,729,3,1,1,6,14,0,75,18,6,7,702,17,90000702,90000519,90000522,0,3,3,0,0,1,19,0,1065,1,519,0,0,427,295,0,0,0,0,0,0,1,1,2016,1,6,2,912,27,522,0,1,0,1,3,1
