,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
108,108,20,0,1,4,14,4,61,61,12,10,16,5701,14,90005701,90000527,90000513,1,0,3,0,0,0,7,0,1115,2,527,0,582,475,0,0,0,0,0,0,73,0,2017,1,4,0,486792,19,513,770,3,0,0,0,0
109,109,21,0,7,10,25,6,103,103,20,16,11,5701,13,90005701,90000513,90000527,1,0,0,0,0,0,23,0,1115,1,513,0,385,288,0,0,0,0,0,0,73,0,2017,1,16,3,486793,18,527,601,2,0,0,0,0
110,110,22,0,6,7,28,0,52,52,18,9,12,5702,14,90005702,90000972,90000525,0,2,1,0,0,0,9,0,1115,2,972,0,645,550,0,0,0,0,0,0,73,0,2017,1,14,2,486830,11,525,844,1,0,1,2,0
111,111,23,0,2,4,13,2,82,82,6,7,11,5702,13,90005702,90000525,90000972,1,0,2,0,1,2,7,0,1041,2,525,0,341,238,0,0,0,0,0,1,73,2,2017,1,9,3,486831,16,972,519,3,0,0,0,2
112,112,24,0,0,3,12,0,37,37,6,4,15,5703,14,90005703,90000508,90000973,0,4,6,0,0,0,15,0,1035,2,508,0,317,244,0,0,0,0,0,0,73,0,2017,1,5,2,486868,18,973,512,3,1,1,3,0
113,113,25,4,3,4,20,4,188,188,27,14,4,5703,14,90005703,90000973,90000508,1,0,2,0,1,4,13,0,1115,2,973,0,680,610,0,1,0,0,0,0,73,4,2017,1,22,11,486869,19,508,883,0,0,0,0,3
114,114,2,1,4,4,21,0,98,98,15,12,18,5690,11,90005690,90000973,90000509,0,1,4,1,1,2,13,1,1115,0,973,0,658,554,0,0,0,0,0,0,73,2,2017,1,13,4,482495,15,509,884,2,0,1,1,2
115,115,3,1,2,2,24,0,87,87,20,16,12,5690,14,90005690,90000509,90000973,0,2,2,0,0,1,15,0,1115,3,509,0,347,243,0,0,0,0,0,0,73,1,2017,1,14,5,482496,15,973,578,2,0,1,2,1
116,116,32,1,4,4,16,3,115,115,22,15,10,5688,12,90005688,90000526,90000515,1,0,2,0,1,1,20,0,1115,2,526,0,636,520,0,0,0,0,0,0,73,1,2017,1,16,2,481380,20,515,889,1,0,0,0,1
117,117,33,0,1,4,25,0,42,42,11,10,18,5688,14,90005688,90000515,90000526,0,1,1,1,0,0,10,0,1115,6,515,0,351,238,0,0,0,0,0,0,73,0,2017,1,7,2,481381,11,526,564,3,0,1,1,0
118,118,46,0,1,3,15,0,42,42,13,18,22,5689,14,90005689,90000517,90000511,0,2,1,0,0,0,23,0,1115,1,517,0,541,426,0,0,0,0,0,0,73,0,2017,1,5,0,481665,13,511,755,3,0,1,2,0
119,119,47,1,0,1,11,3,113,113,17,22,18,5689,13,90005689,90000511,90000517,1,0,0,0,1,2,21,0,1115,1,511,0,468,359,0,0,0,0,0,0,73,2,2017,1,10,3,481666,21,517,690,3,0,0,0,2
120,120,16,0,1,1,7,0,48,48,18,9,11,5686,14,90005686,90000524,90000508,0,4,11,0,0,0,9,0,1115,2,524,0,335,249,0,0,0,0,0,0,73,0,2017,1,5,1,476128,15,508,541,1,0,1,3,0
121,121,17,2,10,14,25,5,169,169,23,11,9,5686,14,90005686,90000508,90000524,1,0,1,0,1,4,4,0,1115,3,508,0,738,655,0,0,0,0,0,0,73,4,2017,1,27,15,476129,9,524,936,0,0,0,0,3
122,122,46,1,2,1,9,0,69,69,20,15,11,5684,12,90005684,90000522,90000527,0,2,2,0,0,2,7,0,1114,0,522,0,468,362,0,0,0,0,0,0,73,2,2017,1,7,3,476752,11,527,657,1,1,1,2,2
123,123,47,0,4,7,24,0,84,84,17,11,15,5684,14,90005684,90000527,90000522,0,2,1,0,0,2,14,0,1115,2,527,0,405,314,0,0,0,0,0,0,73,2,2017,1,15,4,476753,15,522,608,1,0,1,2,2
124,124,48,1,5,7,24,0,80,80,21,13,5,5685,14,90005685,90000521,90000972,0,3,1,0,0,1,11,0,1115,3,521,0,490,369,0,0,0,0,0,0,73,1,2017,1,15,3,476790,15,972,699,2,0,1,3,1
125,125,49,3,4,3,15,0,109,109,18,5,13,5685,14,90005685,90000972,90000521,0,1,2,1,1,3,14,0,1115,4,972,0,406,297,0,0,0,0,0,0,73,3,2017,1,15,4,476791,9,521,636,0,0,1,1,3
126,126,50,0,3,7,24,0,97,97,22,16,15,5687,14,90005687,90000513,90000857,0,3,5,0,0,1,22,0,1115,0,513,1,338,222,0,1,1,0,0,0,73,1,2017,1,14,6,476828,21,857,566,0,0,1,3,1
127,127,51,2,14,6,28,0,133,133,15,11,16,5687,13,90005687,90000857,90000513,0,1,3,1,1,2,10,0,1115,3,857,0,583,489,1,0,0,0,0,0,73,3,2017,1,32,7,476829,21,513,853,2,0,1,1,2
128,128,52,2,2,5,22,0,91,91,13,9,18,5692,14,90005692,90000512,90000514,0,2,2,0,0,2,11,1,1115,0,512,0,347,223,0,0,0,0,0,0,73,2,2017,1,6,2,476866,27,514,570,2,0,1,2,2
129,129,53,1,5,9,37,0,111,111,25,18,11,5692,13,90005692,90000514,90000512,0,2,0,0,0,2,22,0,1115,0,514,0,463,343,0,0,0,0,0,0,73,2,2017,1,16,4,476867,13,512,734,0,0,1,2,2
130,130,54,0,4,2,27,0,71,71,19,9,14,5693,14,90005693,90000525,90000523,0,1,6,1,0,0,7,0,1115,2,525,0,431,329,0,0,0,0,0,0,73,0,2017,1,14,4,476904,14,523,652,0,0,1,1,0
131,131,55,0,2,6,15,4,102,102,24,12,9,5693,14,90005693,90000523,90000525,1,0,4,0,1,1,3,0,1115,4,523,0,500,391,0,0,0,0,0,0,73,1,2017,1,16,7,476905,11,525,710,0,0,0,0,1
132,132,66,3,6,9,24,3,150,150,22,10,9,5691,14,90005691,90000520,90000516,1,0,1,0,1,3,18,0,1115,0,520,0,707,616,0,0,0,0,0,0,73,3,2017,1,20,5,477145,13,516,909,0,0,0,0,3
133,133,67,0,3,4,21,0,45,45,14,7,10,5691,14,90005691,90000516,90000520,0,3,2,0,0,0,20,0,1115,0,516,0,489,387,0,0,0,0,0,0,73,0,2017,1,9,1,477146,13,520,692,3,0,1,3,0
134,134,6,0,2,9,27,0,59,59,20,12,11,5682,14,90005682,90000512,90000509,0,3,3,0,0,0,13,0,1115,2,512,0,706,591,1,0,0,0,0,0,73,0,2017,1,12,3,471190,11,509,932,1,0,1,3,0
135,135,7,2,4,6,22,4,156,156,21,11,12,5682,14,90005682,90000509,90000512,1,0,3,0,1,3,25,0,1115,5,509,0,259,172,0,1,1,0,0,0,73,3,2017,1,19,6,471191,16,512,507,0,0,0,0,3
136,136,24,3,4,5,14,4,141,141,7,15,22,5674,14,90005674,90000522,90000517,1,0,4,0,1,3,11,0,1115,2,522,0,653,571,0,0,0,0,0,0,73,3,2017,1,20,10,469641,10,517,862,5,0,0,0,3
137,137,25,0,2,5,18,0,72,72,16,22,15,5674,13,90005674,90000517,90000522,0,3,6,0,0,0,27,0,1061,2,517,0,262,178,0,0,0,0,0,1,73,0,2017,1,10,4,469642,14,522,477,1,0,1,3,0
138,138,50,1,1,6,21,0,80,80,13,9,16,5678,14,90005678,90000513,90000514,0,4,3,0,0,2,25,0,1115,0,513,0,427,314,0,0,0,0,0,0,73,2,2017,1,6,4,470201,15,514,646,2,0,1,3,2
139,139,51,4,4,4,15,0,139,139,20,14,10,5678,12,90005678,90000514,90000513,0,2,2,0,1,4,12,0,1115,0,514,0,669,539,0,0,0,0,0,0,73,4,2017,1,13,7,470202,15,513,898,2,0,1,2,3
140,140,14,0,2,5,19,0,47,47,19,12,13,5677,14,90005677,90000524,90000525,0,4,2,0,0,0,16,0,1115,1,524,0,388,312,0,0,0,0,0,0,73,0,2017,1,9,2,465188,13,525,601,1,0,1,3,0
141,141,15,3,9,7,21,5,171,171,21,12,13,5677,14,90005677,90000525,90000524,1,0,2,0,1,4,9,0,1115,1,525,0,561,489,0,0,0,0,0,0,73,4,2017,1,21,6,465189,19,524,777,0,0,0,0,3
142,142,34,1,2,3,11,0,76,76,16,6,9,5675,14,90005675,90000516,90000972,0,3,6,0,0,1,24,0,1115,2,516,1,382,289,0,0,0,0,0,0,73,1,2017,1,6,1,465587,23,972,593,2,0,1,3,1
143,143,35,1,6,7,20,0,117,117,23,9,6,5675,14,90005675,90000972,90000516,0,1,0,1,1,2,19,0,1115,1,972,0,803,723,0,0,0,0,0,0,73,3,2017,1,25,7,465588,20,516,1033,0,0,1,1,2
144,144,36,1,4,9,21,0,92,92,15,7,12,5676,14,90005676,90000521,90000515,0,1,3,1,1,2,5,0,1115,2,521,0,551,429,0,0,0,0,0,0,73,2,2017,1,15,4,465625,15,515,758,2,0,1,1,2
